date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1990-01-01,6.6,3.5,11.1,73.0,,,,,1024.3,
1990-02-01,11.8,8.3,16.3,155.0,,,,,1020.6,
1990-03-01,10.8,4.9,17.1,4.0,,,,,1029.7,
1990-04-01,11.2,7.0,15.9,83.0,,,,,1016.2,
1990-05-01,18.4,12.4,24.1,30.0,,,,,1018.0,
1990-06-01,18.2,13.7,23.2,73.0,,,,,1016.8,
1990-07-01,21.9,15.8,28.2,25.0,,,,,1019.2,
1990-08-01,22.7,16.6,29.4,20.0,,,,,1019.8,
1990-09-01,19.0,13.1,25.6,60.0,,,,,1018.0,
1990-10-01,15.1,11.3,20.1,178.0,,,,,1012.3,
1990-11-01,9.7,7.4,13.0,145.0,,,,,1016.5,
1990-12-01,4.3,1.2,8.2,58.0,,,,,1020.8,
1991-01-01,5.8,3.0,9.6,42.0,,,,,1025.0,
1991-02-01,5.5,1.2,10.3,55.0,,,,,1017.1,
1991-03-01,11.3,7.7,15.8,40.0,,,,,1011.5,
1991-04-01,10.7,6.1,16.0,67.0,,,,,1017.6,
1991-05-01,14.6,10.0,19.6,81.0,,,,,1020.5,
1991-06-01,16.8,12.4,21.9,53.0,,,,,1018.4,
1991-07-01,20.9,16.1,26.4,37.0,,,,,1017.8,
1991-08-01,23.0,17.1,29.5,17.0,,,,,1017.9,
1991-09-01,20.2,15.4,26.0,165.0,,,,,1015.7,
1991-10-01,12.2,8.8,16.7,145.0,,,,,1016.7,
1991-11-01,9.0,6.1,12.6,186.0,,,,,1017.2,
1991-12-01,5.3,1.9,9.4,37.0,,,,,1029.0,
1992-01-01,3.0,-0.2,7.3,25.0,,,,,1028.2,
1992-02-01,6.1,1.9,11.9,16.0,,,,,1026.9,
1992-03-01,9.5,5.4,14.4,69.0,,,,,1021.0,
1992-04-01,11.4,6.9,16.5,66.0,,,,,1016.4,
1992-05-01,17.6,11.8,23.8,48.0,,,,,1017.3,
1992-06-01,17.4,13.5,21.9,167.0,,,,,1014.6,
1992-07-01,21.1,16.3,26.5,73.0,,,,,1018.5,
1992-08-01,21.2,16.9,26.8,248.0,,,,,1016.2,
1992-09-01,16.8,12.7,22.0,94.0,,,,,1019.2,
1992-10-01,11.7,9.2,15.1,145.0,,,,,1012.0,
1992-11-01,12.1,9.1,16.2,152.0,,,,,1021.3,
1992-12-01,7.6,5.1,10.6,122.0,,,,,1018.6,
1993-01-01,7.4,3.7,12.4,14.0,,,,,1028.2,
1993-02-01,6.1,1.5,11.6,3.0,,,,,1027.9,
1993-03-01,9.7,4.4,15.7,15.0,,,,,1020.7,
1993-04-01,11.5,7.4,16.6,129.0,,,,,1012.5,
1993-05-01,15.8,11.1,21.2,68.0,,,,,1012.8,
1993-06-01,19.1,14.7,24.3,133.0,,,,,1017.3,
1993-07-01,19.3,14.1,25.0,47.0,,,,,1020.3,
1993-08-01,20.8,15.0,27.1,30.0,,,,,1018.4,
1993-09-01,16.1,12.2,21.2,249.0,,,,,1012.6,
1993-10-01,12.3,9.4,16.3,131.0,,,,,1012.3,
1993-11-01,7.2,3.7,11.9,44.0,,,,,1018.2,
1993-12-01,9.3,6.5,12.3,230.0,,,,,1019.2,
1994-01-01,7.4,4.8,10.7,175.0,,,,,1020.0,
